    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
     107   0.192000   0.805300   0.080678   0.202991     3.197451     0.012100   1.788142   0.110001
     108   0.196800   0.800500   0.073894   0.201216     3.172724     0.012322   1.781214   0.111006
     109   0.196800   0.800500   0.096345   0.200930     3.197554     0.012218   1.788171   0.110535
     110   0.196800   0.800500   0.114386   0.201412     3.203639     0.012132   1.789871   0.110145
     111   0.196800   0.800500   0.106037   0.202245     3.182377     0.012098   1.783922   0.109992
     112   0.196800   0.800500   0.085387   0.201517     3.200871     0.012049   1.789098   0.109767
     113   0.196800   0.800500   0.101904   0.201944     3.202828     0.011962   1.789645   0.109372
     114   0.201600   0.795700   0.101375   0.203462     3.174764     0.012115   1.781787   0.110070
     115   0.201600   0.795700   0.080445   0.203117     3.196664     0.012024   1.787922   0.109652
     116   0.206400   0.790900   0.075602   0.203694     3.171780     0.011958   1.780949   0.109353
     117   0.211200   0.786100   0.078449   0.202954     3.145603     0.011919   1.773585   0.109173
     118   0.216000   0.781300   0.092693   0.201644     3.142482     0.012017   1.772705   0.109622
     119   0.216000   0.781300   0.069568   0.201905     3.178647     0.011924   1.782876   0.109197
     120   0.216000   0.781300   0.057082   0.203064     3.170557     0.011983   1.780606   0.109467
     121   0.216000   0.781300   0.041434   0.203821     3.173494     0.011952   1.781430   0.109326
     122   0.216000   0.781300   0.063320   0.205095     3.204968     0.012049   1.790242   0.109768
     123   0.220800   0.776500   0.053336   0.203989     3.190976     0.012099   1.786330   0.109995
     124   0.220800   0.776500   0.036163   0.204084     3.201220     0.012002   1.789195   0.109555
     125   0.220800   0.776500   0.057058   0.202661     3.229313     0.012156   1.797029   0.110252
     126   0.225600   0.771700   0.043495   0.201110     3.226495     0.012357   1.796245   0.111163
     127   0.225600   0.771700   0.051502   0.202512     3.209104     0.012506   1.791397   0.111828
     128   0.225600   0.771700   0.040465   0.202451     3.199383     0.012408   1.788682   0.111393
     129   0.225600   0.771700   0.023990   0.203475     3.209057     0.012445   1.791384   0.111559
     130   0.225600   0.771700   0.016063   0.204972     3.192414     0.012637   1.786733   0.112413
     131   0.230400   0.766900   0.012053   0.204715     3.170119     0.012549   1.780483   0.112021
     132   0.230400   0.766900   0.001407   0.205264     3.160839     0.012493   1.777875   0.111771
     133   0.235200   0.762100   0.012940   0.204247     3.154498     0.012534   1.776091   0.111958
     134   0.235200   0.762100  -0.008102   0.203410     3.189407     0.012533   1.785891   0.111952
     135   0.235200   0.762100  -0.015206   0.203816     3.172494     0.012462   1.781150   0.111635
     136   0.235200   0.762100  -0.036638   0.204534     3.210716     0.012440   1.791847   0.111534
     137   0.235200   0.762100  -0.018416   0.204965     3.232109     0.012374   1.797807   0.111239
     138   0.240000   0.757300  -0.009196   0.204011     3.220247     0.012408   1.794505   0.111392
     139   0.240000   0.757300   0.008093   0.202767     3.238036     0.012531   1.799454   0.111942
     140   0.244800   0.752500   0.011065   0.201354     3.216126     0.012717   1.793356   0.112770
     141   0.249600   0.747700   0.010761   0.200612     3.193329     0.012703   1.786989   0.112709
     142   0.249600   0.747700  -0.007389   0.199862     3.216962     0.012693   1.793589   0.112662
     143   0.254400   0.742900   0.000697   0.199702     3.203684     0.012608   1.789884   0.112283
     144   0.254400   0.742900  -0.013604   0.199369     3.210478     0.012536   1.791781   0.111963
     145   0.254400   0.742900   0.004043   0.199108     3.232873     0.012459   1.798019   0.111620
     146   0.254400   0.742900   0.021176   0.199953     3.252999     0.012477   1.803607   0.111699
     147   0.254400   0.742900   0.032123   0.200048     3.248246     0.012393   1.802289   0.111324
     148   0.254400   0.742900   0.018400   0.200878     3.253794     0.012410   1.803828   0.111400
     149   0.254400   0.742900   0.029143   0.201809     3.248925     0.012454   1.802477   0.111598
     150   0.259200   0.738100   0.020786   0.201089     3.237603     0.012448   1.799334   0.111570
     151   0.259200   0.738100   0.004466   0.200023     3.255848     0.012535   1.804397   0.111959
     152   0.259200   0.738100  -0.011159   0.199019     3.271052     0.012604   1.808605   0.112266
     153   0.264000   0.733300  -0.010206   0.199045     3.249810     0.012521   1.802723   0.111899
     154   0.264000   0.733300   0.002754   0.199804     3.254239     0.012528   1.803951   0.111927
     155   0.268800   0.728500   0.000178   0.200244     3.234259     0.012477   1.798405   0.111698
     156   0.268800   0.728500  -0.008760   0.201497     3.225831     0.012638   1.796060   0.112420
     157   0.273600   0.723700  -0.000717   0.201307     3.215313     0.012563   1.793129   0.112087
     158   0.273600   0.723700   0.013343   0.202238     3.225803     0.012619   1.796052   0.112334
     159   0.273600   0.723700   0.003971   0.203449     3.219307     0.012770   1.794243   0.113004
     160   0.278400   0.718900   0.002963   0.203511     3.199347     0.012691   1.788672   0.112653
     161   0.278400   0.718900   0.016963   0.202701     3.210640     0.012716   1.791826   0.112767
     162   0.278400   0.718900   0.032099   0.203314     3.227479     0.012698   1.796519   0.112686
     163   0.278400   0.718900   0.017468   0.204091     3.242144     0.012717   1.800595   0.112771
     164   0.283200   0.714100   0.017115   0.203817     3.222395     0.012652   1.795103   0.112481
     165   0.288000   0.709300   0.021734   0.202602     3.206344     0.012816   1.790627   0.113208
     166   0.288000   0.709300   0.015565   0.203478     3.193271     0.012864   1.786972   0.113422
     167   0.292800   0.704500   0.008322   0.203221     3.182805     0.012798   1.784042   0.113130
     168   0.292800   0.704500   0.025003   0.203722     3.210054     0.012764   1.791662   0.112977
     169   0.297600   0.699700   0.029836   0.202743     3.194960     0.012848   1.787445   0.113351
     170   0.297600   0.699700   0.042140   0.202778     3.201599     0.012773   1.789301   0.113018
     171   0.297600   0.699700   0.027084   0.202760     3.221188     0.012698   1.794767   0.112687
     172   0.297600   0.699700   0.035731   0.203830     3.215173     0.012819   1.793090   0.113222
     173   0.297600   0.699700   0.024990   0.203938     3.216314     0.012747   1.793409   0.112903
     174   0.297600   0.699700   0.012430   0.204418     3.224965     0.012713   1.795819   0.112754
     175   0.297600   0.699700   0.019352   0.204399     3.214826     0.012641   1.792994   0.112432
     176   0.297600   0.699700   0.010026   0.203997     3.211697     0.012597   1.792121   0.112237
     177   0.302400   0.694900  -0.001398   0.202978     3.216388     0.012708   1.793429   0.112728
     178   0.302400   0.694900   0.010799   0.202219     3.224502     0.012738   1.795690   0.112862
     179   0.302400   0.694900   0.015052   0.202823     3.209690     0.012731   1.791561   0.112833
     180   0.302400   0.694900   0.024472   0.202703     3.207654     0.012663   1.790992   0.112531
     181   0.307200   0.690100   0.023667   0.202164     3.190048     0.012645   1.786070   0.112451
     182   0.312000   0.685300   0.028062   0.202034     3.175997     0.012579   1.782133   0.112155
     183   0.316800   0.680500   0.033939   0.201849     3.164893     0.012516   1.779015   0.111876
     184   0.321600   0.675700   0.033262   0.201414     3.147776     0.012483   1.774197   0.111726
     185   0.321600   0.675700   0.045584   0.201628     3.158549     0.012423   1.777231   0.111461
     186   0.326400   0.670900   0.050284   0.201594     3.145631     0.012357   1.773593   0.111162
     187   0.326400   0.670900   0.039083   0.201408     3.152021     0.012297   1.775393   0.110893
     188   0.326400   0.670900   0.053946   0.202018     3.176344     0.012301   1.782230   0.110910
     189   0.326400   0.670900   0.039881   0.201610     3.196532     0.012267   1.787885   0.110757
     190   0.326400   0.670900   0.030472   0.201188     3.196352     0.012236   1.787835   0.110617
     191   0.326400   0.670900   0.044397   0.201111     3.216271     0.012173   1.793396   0.110332
     192   0.326400   0.670900   0.055323   0.201104     3.222199     0.012110   1.795049   0.110044
     193   0.326400   0.670900   0.069578   0.201629     3.244318     0.012100   1.801199   0.109998
     194   0.326400   0.670900   0.078670   0.201931     3.243465     0.012055   1.800962   0.109794
     195   0.331200   0.666100   0.081758   0.200930     3.228673     0.012187   1.796851   0.110393
     196   0.331200   0.666100   0.085700   0.201524     3.215214     0.012193   1.793102   0.110422
     197   0.336000   0.661300   0.085514   0.201288     3.198900     0.012142   1.788547   0.110191
     198   0.336000   0.661300   0.089267   0.202112     3.185506     0.012214   1.784799   0.110517
     199   0.336000   0.661300   0.075959   0.202739     3.204389     0.012230   1.790081   0.110589
     200   0.336000   0.661300   0.066666   0.203297     3.205469     0.012230   1.790382   0.110591
     201   0.336000   0.661300   0.076948   0.203393     3.210560     0.012171   1.791804   0.110324
     202   0.336000   0.661300   0.091079   0.203644     3.234604     0.012124   1.798500   0.110108
     203   0.336000   0.661300   0.095789   0.203974     3.223129     0.012086   1.795307   0.109936
     204   0.340800   0.656500   0.107897   0.202980     3.236944     0.012227   1.799151   0.110574
     205   0.340800   0.656500   0.119917   0.203603     3.250484     0.012246   1.802910   0.110661
     206   0.340800   0.656500   0.105396   0.204064     3.277717     0.012230   1.810447   0.110589
     207   0.345600   0.651700   0.113714   0.203185     3.276064     0.012329   1.809990   0.111037
     208   0.350400   0.646900   0.119260   0.202889     3.266651     0.012288   1.807388   0.110851
     209   0.355200   0.642100   0.124492   0.202509     3.256688     0.012259   1.804630   0.110721
     210   0.360000   0.637300   0.132587   0.201549     3.254810     0.012392   1.804109   0.111320
     211   0.364800   0.632500   0.130986   0.202127     3.239920     0.012403   1.799978   0.111370
     212   0.364800   0.632500   0.135206   0.202990     3.228376     0.012501   1.796768   0.111809
     213   0.364800   0.632500   0.128505   0.203110     3.222691     0.012445   1.795186   0.111559
     214   0.364800   0.632500   0.120019   0.203833     3.222902     0.012498   1.795244   0.111795
     215   0.364800   0.632500   0.115033   0.204558     3.213205     0.012552   1.792542   0.112036
     216   0.364800   0.632500   0.104498   0.204242     3.222082     0.012515   1.795016   0.111872
     217   0.369600   0.627700   0.101553   0.204545     3.209099     0.012477   1.791396   0.111702
     218   0.369600   0.627700   0.114425   0.204850     3.230167     0.012440   1.797266   0.111536
     219   0.369600   0.627700   0.118629   0.205663     3.219253     0.012527   1.794228   0.111923
     220   0.374400   0.622900   0.119932   0.205019     3.204990     0.012560   1.790249   0.112072
     221   0.379200   0.618100   0.126010   0.204439     3.198578     0.012577   1.788457   0.112147
     222   0.379200   0.618100   0.112005   0.204366     3.227320     0.012521   1.796474   0.111899
     223   0.379200   0.618100   0.101401   0.204074     3.237699     0.012484   1.799361   0.111733
     224   0.384000   0.613300   0.099091   0.204286     3.224430     0.012438   1.795670   0.111528
     225   0.388800   0.608500   0.087877   0.203454     3.238143     0.012538   1.799484   0.111972
     226   0.388800   0.608500   0.075593   0.203430     3.257617     0.012482   1.804887   0.111725
     227   0.393600   0.603700   0.074517   0.203824     3.243526     0.012462   1.800979   0.111635
     228   0.398400   0.598900   0.066254   0.203264     3.244733     0.012479   1.801314   0.111708
     229   0.403200   0.594100   0.061781   0.202750     3.235105     0.012484   1.798640   0.111733
     230   0.408000   0.589300   0.065443   0.202174     3.224096     0.012506   1.795577   0.111829
