    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
      97   0.196800   0.800500  -0.009017   0.198444     2.996286     0.012241   1.730978   0.110638
      98   0.196800   0.800500  -0.037249   0.197960     3.042235     0.012138   1.744200   0.110174
      99   0.196800   0.800500  -0.059190   0.197738     3.058209     0.012021   1.748774   0.109638
     100   0.196800   0.800500  -0.035674   0.198084     3.081830     0.011912   1.755514   0.109143
     101   0.201600   0.795700  -0.038021   0.197948     3.051862     0.011796   1.746958   0.108609
     102   0.206400   0.790900  -0.027460   0.196082     3.033097     0.012028   1.741579   0.109674
     103   0.206400   0.790900  -0.053437   0.194996     3.071815     0.012031   1.752659   0.109685
     104   0.211200   0.786100  -0.049963   0.194666     3.043509     0.011926   1.744566   0.109208
     105   0.211200   0.786100  -0.064612   0.195338     3.036630     0.011859   1.742593   0.108900
     106   0.216000   0.781300  -0.061140   0.194315     3.009237     0.011856   1.734715   0.108887
     107   0.216000   0.781300  -0.039777   0.193735     3.029038     0.011781   1.740413   0.108540
     108   0.216000   0.781300  -0.014586   0.192642     3.068260     0.011798   1.751645   0.108621
     109   0.216000   0.781300   0.011202   0.193126     3.111276     0.011715   1.763881   0.108237
     110   0.220800   0.776500   0.017072   0.193971     3.086714     0.011686   1.756905   0.108101
     111   0.220800   0.776500   0.032747   0.195587     3.085691     0.011865   1.756614   0.108928
     112   0.225600   0.771700   0.029878   0.196155     3.059047     0.011795   1.749013   0.108604
     113   0.230400   0.766900   0.028393   0.195693     3.032220     0.011714   1.741327   0.108232
     114   0.230400   0.766900   0.010850   0.196683     3.040094     0.011721   1.743586   0.108264
     115   0.230400   0.766900  -0.014213   0.198025     3.084641     0.011823   1.756315   0.108732
     116   0.235200   0.762100  -0.002787   0.197208     3.072933     0.011797   1.752978   0.108612
     117   0.235200   0.762100   0.009260   0.198095     3.063359     0.011786   1.750246   0.108565
     118   0.240000   0.757300   0.024468   0.196523     3.064229     0.011973   1.750494   0.109422
     119   0.240000   0.757300   0.039943   0.196161     3.066499     0.011888   1.751142   0.109032
     120   0.244800   0.752500   0.043671   0.194719     3.042586     0.012034   1.744301   0.109700
     121   0.244800   0.752500   0.020348   0.195960     3.082179     0.012118   1.755614   0.110081
     122   0.244800   0.752500   0.002502   0.196847     3.095136     0.012113   1.759300   0.110059
     123   0.244800   0.752500  -0.020708   0.197267     3.135161     0.012036   1.770639   0.109708
     124   0.249600   0.747700  -0.016194   0.196782     3.112365     0.011967   1.764190   0.109396
     125   0.249600   0.747700  -0.025637   0.198294     3.098436     0.012153   1.760237   0.110240
     126   0.249600   0.747700  -0.006614   0.197405     3.118723     0.012155   1.765991   0.110248
     127   0.249600   0.747700   0.014010   0.198482     3.147336     0.012204   1.774073   0.110472
     128   0.249600   0.747700   0.021238   0.199935     3.129331     0.012375   1.768992   0.111242
     129   0.249600   0.747700   0.035712   0.200981     3.131681     0.012418   1.769655   0.111435
     130   0.254400   0.742900   0.036267   0.200145     3.107630     0.012412   1.762847   0.111408
     131   0.254400   0.742900   0.019052   0.201227     3.122139     0.012468   1.766958   0.111662
     132   0.259200   0.738100   0.023620   0.201338     3.101200     0.012375   1.761022   0.111245
     133   0.264000   0.733300   0.022509   0.200911     3.078044     0.012306   1.754436   0.110934
     134   0.264000   0.733300   0.005008   0.200865     3.095506     0.012215   1.759405   0.110520
     135   0.268800   0.728500  -0.004372   0.199614     3.084278     0.012332   1.756211   0.111052
     136   0.268800   0.728500   0.012137   0.200355     3.098120     0.012315   1.760148   0.110974
     137   0.268800   0.728500   0.032663   0.200435     3.132387     0.012226   1.769855   0.110572
