    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
      96   0.240000   0.757300  -0.128221   0.187540     2.661989     0.012795   1.631560   0.113117
      97   0.240000   0.757300  -0.152854   0.188850     2.692193     0.012826   1.640791   0.113254
      98   0.240000   0.757300  -0.141081   0.189496     2.678029     0.012736   1.636469   0.112852
      99   0.240000   0.757300  -0.120727   0.191387     2.691167     0.012954   1.640478   0.113814
     100   0.244800   0.752500  -0.126889   0.190144     2.667978     0.012975   1.633395   0.113910
     101   0.244800   0.752500  -0.102784   0.190528     2.699095     0.012862   1.642892   0.113409
     102   0.244800   0.752500  -0.076172   0.191035     2.743457     0.012761   1.656338   0.112965
     103   0.244800   0.752500  -0.056001   0.191349     2.757921     0.012647   1.660699   0.112460
     104   0.244800   0.752500  -0.084218   0.191239     2.812626     0.012527   1.677089   0.111923
     105   0.249600   0.747700  -0.092674   0.190696     2.793205     0.012438   1.671288   0.111525
     106   0.254400   0.742900  -0.098829   0.191282     2.770794     0.012356   1.664570   0.111158
     107   0.259200   0.738100  -0.098830   0.191999     2.744898     0.012295   1.656773   0.110882
     108   0.264000   0.733300  -0.086431   0.191122     2.735778     0.012262   1.654019   0.110736
     109   0.264000   0.733300  -0.066442   0.192860     2.753437     0.012473   1.659348   0.111683
     110   0.264000   0.733300  -0.054518   0.193400     2.743762     0.012391   1.656431   0.111315
     111   0.268800   0.728500  -0.061379   0.192739     2.724174     0.012327   1.650507   0.111027
     112   0.268800   0.728500  -0.049327   0.193725     2.715829     0.012324   1.647977   0.111013
     113   0.273600   0.723700  -0.051639   0.193665     2.692389     0.012215   1.640850   0.110523
     114   0.273600   0.723700  -0.030732   0.194784     2.717735     0.012248   1.648555   0.110672
     115   0.278400   0.718900  -0.035465   0.194264     2.696634     0.012172   1.642143   0.110328
     116   0.278400   0.718900  -0.012625   0.194128     2.732860     0.012069   1.653136   0.109861
     117   0.283200   0.714100  -0.018881   0.194727     2.714004     0.012008   1.647423   0.109579
     118   0.283200   0.714100  -0.000815   0.195324     2.728865     0.011947   1.651928   0.109303
     119   0.283200   0.714100   0.006733   0.197020     2.712600     0.012183   1.646997   0.110378
     120   0.288000   0.709300   0.006170   0.198539     2.690032     0.012354   1.640132   0.111149
     121   0.288000   0.709300  -0.012830   0.198755     2.710761     0.012258   1.646439   0.110714
     122   0.288000   0.709300  -0.030986   0.197869     2.728102     0.012251   1.651697   0.110686
     123   0.292800   0.704500  -0.018636   0.197315     2.724378     0.012189   1.650569   0.110403
